"employee_id","industry_practice","industry_automation_index","role_level","tenure_years","automation_exposure","baseline_performance","hired_post_transition"
"EMP001","Technology",7.1,"Senior",2.5,"High",4.13,FALSE
"EMP002","Healthcare",5.4,"Mid",3.3,"High",3.63,FALSE
"EMP003","Retail & Consumer",5.8,"Principal",0.9,"Medium",3.88,FALSE
"EMP004","Financial Services",8.2,"Mid",8.2,"High",4.56,FALSE
"EMP005","Financial Services",8.2,"Senior",13.6,"Medium",3.39,FALSE
"EMP006","Manufacturing & Operations",8.6,"Junior",5.2,"High",3.9,FALSE
"EMP007","Manufacturing & Operations",8.6,"Junior",13.5,"High",4.73,FALSE
"EMP008","Financial Services",8.2,"Senior",0.9,"Medium",3.61,FALSE
"EMP009","Manufacturing & Operations",8.6,"Senior",4.2,"Medium",3.84,FALSE
"EMP010","Technology",7.1,"Principal",5.9,"High",3.98,FALSE
"EMP011","Healthcare",5.4,"Mid",0.7,"Low",4.41,TRUE
"EMP012","Technology",7.1,"Junior",2.2,"High",3.9,FALSE
"EMP013","Technology",7.1,"Senior",11.7,"High",4.08,FALSE
"EMP014","Financial Services",8.2,"Senior",2.9,"High",4.27,FALSE
"EMP015","Healthcare",5.4,"Mid",0.7,"Medium",3.84,FALSE
"EMP016","Financial Services",8.2,"Junior",0.8,"Medium",3.17,FALSE
"EMP017","Healthcare",5.4,"Mid",7.1,"Medium",3.15,FALSE
"EMP018","Financial Services",8.2,"Mid",6.3,"High",4.16,TRUE
"EMP019","Financial Services",8.2,"Senior",5.3,"Medium",3.18,FALSE
"EMP020","Financial Services",8.2,"Principal",11.1,"High",3.66,TRUE
"EMP021","Financial Services",8.2,"Senior",10.2,"Medium",3.49,TRUE
"EMP022","Technology",7.1,"Junior",5.8,"High",3.28,FALSE
"EMP023","Manufacturing & Operations",8.6,"Junior",4.1,"Medium",3.97,FALSE
"EMP024","Retail & Consumer",5.8,"Mid",4.8,"Low",3.54,FALSE
"EMP025","Healthcare",5.4,"Junior",1.8,"Low",3.24,TRUE
"EMP026","Healthcare",5.4,"Senior",1.3,"Medium",3.83,FALSE
"EMP027","Retail & Consumer",5.8,"Mid",5,"Medium",4.43,FALSE
"EMP028","Healthcare",5.4,"Mid",3,"High",3.19,FALSE
"EMP029","Technology",7.1,"Mid",2.8,"Medium",4.17,FALSE
"EMP030","Financial Services",8.2,"Senior",7,"Medium",3.33,TRUE
"EMP031","Manufacturing & Operations",8.6,"Mid",7.7,"High",3.77,FALSE
"EMP032","Financial Services",8.2,"Mid",0.7,"Medium",3.84,FALSE
"EMP033","Retail & Consumer",5.8,"Junior",15.3,"High",3.46,FALSE
"EMP034","Financial Services",8.2,"Junior",1.9,"Medium",3.4,FALSE
"EMP035","Financial Services",8.2,"Principal",3.6,"High",3.59,FALSE
"EMP036","Public Sector",3.2,"Junior",7.4,"Low",4.36,FALSE
"EMP037","Healthcare",5.4,"Junior",2.7,"Low",3.59,FALSE
"EMP038","Technology",7.1,"Junior",15.7,"High",4.05,FALSE
"EMP039","Manufacturing & Operations",8.6,"Junior",12.7,"High",3.67,TRUE
"EMP040","Technology",7.1,"Mid",6.2,"Medium",3.51,FALSE
"EMP041","Financial Services",8.2,"Mid",8.8,"High",2.88,FALSE
"EMP042","Retail & Consumer",5.8,"Senior",12,"Medium",3.74,FALSE
"EMP043","Manufacturing & Operations",8.6,"Mid",2.6,"High",4.79,TRUE
"EMP044","Healthcare",5.4,"Mid",0.5,"Medium",3.87,FALSE
"EMP045","Technology",7.1,"Senior",7,"High",2.59,FALSE
"EMP046","Healthcare",5.4,"Mid",4.9,"Medium",4.49,FALSE
"EMP047","Financial Services",8.2,"Senior",10.2,"Medium",3.19,FALSE
"EMP048","Healthcare",5.4,"Senior",3.2,"Low",3.22,FALSE
"EMP049","Financial Services",8.2,"Junior",2.6,"High",3.92,FALSE
"EMP050","Healthcare",5.4,"Mid",3.1,"Low",3.41,FALSE
"EMP051","Financial Services",8.2,"Junior",3.2,"Medium",3.2,FALSE
"EMP052","Retail & Consumer",5.8,"Junior",5.3,"High",4,FALSE
"EMP053","Healthcare",5.4,"Mid",2.6,"High",3.86,FALSE
"EMP054","Retail & Consumer",5.8,"Mid",5.2,"Medium",3.52,FALSE
"EMP055","Healthcare",5.4,"Junior",9.7,"Medium",3.23,FALSE
"EMP056","Manufacturing & Operations",8.6,"Junior",5.9,"Medium",3.13,FALSE
"EMP057","Technology",7.1,"Senior",5.5,"Low",3.24,FALSE
"EMP058","Financial Services",8.2,"Senior",2.2,"High",4.77,FALSE
"EMP059","Healthcare",5.4,"Principal",5.8,"Medium",3.27,FALSE
"EMP060","Retail & Consumer",5.8,"Mid",6.2,"Medium",3.61,FALSE
"EMP061","Manufacturing & Operations",8.6,"Mid",0.8,"High",4.24,FALSE
"EMP062","Technology",7.1,"Mid",0.6,"High",3.55,FALSE
"EMP063","Manufacturing & Operations",8.6,"Junior",9.3,"High",3.68,FALSE
"EMP064","Financial Services",8.2,"Junior",4.8,"High",3.44,FALSE
"EMP065","Technology",7.1,"Senior",2.5,"High",4.31,FALSE
"EMP066","Financial Services",8.2,"Senior",7.3,"Low",3.77,FALSE
"EMP067","Healthcare",5.4,"Mid",1.3,"Low",3.37,FALSE
"EMP068","Financial Services",8.2,"Mid",0.6,"Medium",3.76,FALSE
"EMP069","Technology",7.1,"Principal",2.9,"High",4.65,FALSE
"EMP070","Financial Services",8.2,"Junior",15.9,"Medium",2.81,FALSE
"EMP071","Healthcare",5.4,"Mid",3.3,"Low",3.9,FALSE
"EMP072","Healthcare",5.4,"Senior",6.9,"Medium",3.55,FALSE
