"outcome_id","employee_id","post_performance","billable_hours_change","absenteeism_days","turnover_intent","ai_tool_adoption_score","months_since_training"
"OUT001","EMP001",4.15,14.9,3,"High",3.8,5
"OUT002","EMP002",3.14,2.8,8,"High",5.3,6
"OUT003","EMP003",3.79,-5.3,5,"High",2.7,14
"OUT004","EMP004",4.5,9.8,4,"Low",4.4,12
"OUT005","EMP005",3.43,10,3,"Low",2.4,12
"OUT006","EMP006",4.14,-3.1,4,"High",5.1,14
"OUT007","EMP007",4.81,-16.8,5,"High",5.5,7
"OUT008","EMP008",3.52,14.5,1,"Medium",4.9,8
"OUT009","EMP009",4.09,0.5,8,"Low",2.9,7
"OUT010","EMP010",3.95,12,2,"High",5.5,9
"OUT011","EMP011",3.99,0.1,6,"Low",1,9
"OUT012","EMP012",3.96,18.7,1,"High",5.3,5
"OUT013","EMP013",4.28,12.6,3,"Medium",5.3,15
"OUT014","EMP014",3.95,3.7,3,"High",3.3,13
"OUT015","EMP015",3.83,5.8,4,"Low",4.3,9
"OUT016","EMP016",3.67,12.5,1,"Low",4.9,14
"OUT017","EMP017",3.24,2.6,7,"Medium",1.5,10
"OUT018","EMP018",4.22,10,12,"High",4.5,16
"OUT019","EMP019",3.39,12.6,0,"Medium",4.2,9
"OUT020","EMP020",3.39,2.5,4,"Low",4.9,9
"OUT021","EMP021",3.33,9.1,9,"Low",5.6,7
"OUT022","EMP022",2.93,13.5,3,"Medium",2.5,3
"OUT023","EMP023",3.92,-5.3,4,"Low",4.1,6
"OUT024","EMP024",4.01,8.3,7,"Low",3.6,6
"OUT025","EMP025",3.58,3.4,4,"Low",1.6,14
"OUT026","EMP026",4.2,6,7,"Medium",2.9,12
"OUT027","EMP027",5,13.4,5,"Low",3.6,13
"OUT028","EMP028",3.21,5.3,4,"Medium",4.4,8
"OUT029","EMP029",NA,15.6,2,"Low",4.1,12
"OUT030","EMP030",3.66,12.9,0,"Medium",5.2,14
"OUT031","EMP031",4.3,-6.3,2,"Medium",5.2,7
"OUT032","EMP032",4.32,5.8,2,"Medium",4.6,7
"OUT033","EMP033",3.55,7,19,"High",2.3,14
"OUT034","EMP034",3.59,6.4,10,"High",3.6,11
"OUT035","EMP035",4.09,13.1,4,"Medium",7.3,4
"OUT036","EMP036",4.31,16.9,6,"Low",3,14
"OUT037","EMP037",3.82,8.1,2,"Low",5.3,6
"OUT038","EMP038",4.08,14.2,4,"Medium",5.1,15
"OUT039","EMP039",4.42,-6.4,3,"Low",6.9,6
"OUT040","EMP040",3.43,8.2,3,"Medium",5.2,9
"OUT041","EMP041",3.22,15.4,9,"Medium",5.9,12
"OUT042","EMP042",3.7,6.2,9,"Medium",7.5,3
"OUT043","EMP043",4.64,-9.8,3,"Low",4.2,3
"OUT044","EMP044",4.26,5.5,4,"Medium",4.6,11
"OUT045","EMP045",2.96,24.5,224,"Medium",4.4,13
"OUT046","EMP046",NA,15.6,6,"Medium",3,12
"OUT047","EMP047",3.24,19.4,4,"Low",4,3
"OUT048","EMP048",3.64,6.5,1,"Low",4.3,8
"OUT049","EMP049",3.89,4.7,5,"High",5.7,10
"OUT050","EMP050",3.32,5.1,1,"Low",3.8,8
"OUT051","EMP051",NA,8.7,5,"Medium",6.4,14
"OUT052","EMP052",4.12,9.7,6,"High",2.7,9
"OUT053","EMP053",4.04,0.3,8,"High",2.2,11
"OUT054","EMP054",3.18,7.2,13,"Low",5.1,8
"OUT055","EMP055",3.99,-4.1,11,"Low",5.4,13
"OUT056","EMP056",3.76,1.5,6,"Low",6.9,11
"OUT057","EMP057",3,17.9,0,"Low",5.6,8
"OUT058","EMP058",5,6.6,6,"High",7.9,9
"OUT059","EMP059",2.99,2.5,5,"Low",4.6,6
"OUT060","EMP060",3.61,7.4,5,"Medium",3.2,7
"OUT061","EMP061",4.25,-3,4,"Medium",4.9,12
"OUT062","EMP062",4.58,16.3,4,"Medium",5.2,7
"OUT063","EMP063",3.87,-0.9,6,"High",5.4,12
"OUT064","EMP064",NA,6.7,4,"Medium",4.4,6
"OUT065","EMP065",4.96,15.4,1,"Low",4.2,9
"OUT066","EMP066",4.08,8.1,3,"Low",3.2,9
"OUT067","EMP067",3.68,1.9,0,"Low",2.9,6
"OUT068","EMP068",3.99,14.3,4,"Low",6.8,7
"OUT069","EMP069",4.99,11.9,1,"Low",3.7,9
"OUT070","EMP070",2.76,-11.1,2,"Medium",5.1,9
"OUT071","EMP071",3.71,2.3,1,"Low",2.1,12
"OUT072","EMP072",3.55,5.8,2,"Low",2.5,9
"OUT073","EMP073",3.29,6.1,2,"Low",5.1,15
"OUT074","EMP074",3.45,26.3,4,"Low",3.2,13
"OUT075","EMP075",4.31,6.9,5,"High",7.2,18
"OUT076","EMP076",4.24,10.7,4,"Low",5.2,18
"OUT077","EMP077",4.4,8.2,3,"Low",4.1,12
"OUT078","EMP078",4.75,16.4,5,"Medium",7.2,11
"OUT079","EMP079",4.65,10.6,6,"High",5.4,13
"OUT080","EMP080",3.11,15.7,5,"High",2,8
"OUT081","EMP081",2.79,5,7,"Low",5.3,11
"OUT082","EMP082",4.5,-0.2,4,"Medium",3.8,11
"OUT083","EMP083",4.64,3.2,0,"Medium",4.1,15
"OUT084","EMP084",3.97,10.5,1,"Medium",5.1,13
"OUT085","EMP085",4.91,6.4,2,"Low",4.5,14
"OUT086","EMP086",3.39,10.4,6,"Medium",5.9,18
"OUT087","EMP087",3.75,16.8,1,"Low",4,9
"OUT088","EMP088",3.57,6.3,6,"Low",5.3,14
"OUT089","EMP089",3.42,2.7,13,"High",3.8,9
"OUT090","EMP090",4.56,15.7,1,"Low",4.3,10
"OUT091","EMP091",4.72,-11.7,3,"Low",3.6,16
"OUT092","EMP092",3.78,3.7,10,"High",5.5,10
"OUT093","EMP093",NA,-7.6,6,"High",5.7,18
"OUT094","EMP094",3.61,13.6,2,"Low",4.2,11
"OUT095","EMP095",NA,10.1,4,"Low",10,12
"OUT096","EMP096",3.83,3,5,"High",4.6,3
"OUT097","EMP097",3.33,4.9,3,"High",6.1,8
"OUT098","EMP098",3.99,13.1,3,"Medium",8.1,10
"OUT099","EMP099",3.82,-1.3,13,"High",5.7,6
"OUT100","EMP100",3.63,5.7,5,"Low",2.7,7
"OUT101","EMP101",3.27,8.5,4,"Medium",3.4,4
"OUT102","EMP102",4.48,7.8,12,"High",5.2,10
"OUT103","EMP103",3.84,15.4,7,"High",6,15
